name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Stuart Armstrong,MID,Southampton,2.0,0,0,12,0,28.8,368,100,1,0,5.6,19.2,2020-12-07T20:00:00Z,90,3,0,0,0,0,11,0,54268,2,1,8.0,2,3471,11508,8037,55,False,0,11
Jamie Shackleton,MID,Leeds,0.0,0,0,0,0,0.0,210,102,0,0,0.0,0.0,2020-12-05T20:00:00Z,0,5,0,0,0,0,11,0,2265,1,3,0.0,0,-105,108,213,48,False,0,11
Ayoze Pérez,MID,Leicester,3.5,0,2,26,0,26.6,229,105,1,1,11.7,41.0,2020-12-06T14:15:00Z,68,15,0,0,0,0,11,0,58130,2,1,49.0,9,-3179,588,3767,60,False,0,11
James McCarthy,MID,Crystal Palace,0.5,0,0,0,0,0.0,131,107,0,0,0.0,0.0,2020-12-06T12:00:00Z,0,18,0,0,0,0,11,0,92424,5,1,0.0,0,-6097,886,6983,45,False,0,11
Yves Bissouma,MID,Brighton,1.3,0,0,15,0,2.8,76,100,2,0,2.9,19.4,2020-12-07T20:00:00Z,90,16,0,0,0,0,11,0,246180,2,1,7.0,1,-7826,10391,18217,45,True,1,11
Tomas Soucek,MID,West Ham,3.8,0,1,30,0,0.8,449,108,3,1,8.5,45.6,2020-12-05T17:30:00Z,90,13,0,0,0,0,11,0,254955,3,1,39.0,8,-1294,22234,23528,49,True,0,11
Joseph Willock,MID,Arsenal,1.0,0,0,0,0,0.0,20,106,0,0,0.0,0.0,2020-12-06T16:30:00Z,0,17,0,0,0,0,11,0,5837,0,2,0.0,0,-110,215,325,48,False,0,11
Morgan Gibbs-White,MID,Wolves,0.0,0,0,0,0,0.0,473,103,0,0,0.0,0.0,2020-12-06T19:15:00Z,0,11,0,0,0,0,11,0,443,0,4,0.0,0,20,38,18,49,False,0,11
Jack Harrison,MID,Leeds,2.1,0,0,2,0,1.8,203,102,1,0,1.2,6.0,2020-12-05T20:00:00Z,56,5,0,0,0,0,11,0,100575,1,3,4.0,1,-14459,2375,16834,55,False,0,11
Sander Berge,MID,Sheffield Utd,1.2,0,0,9,0,12.3,360,105,2,0,2.3,9.0,2020-12-06T14:15:00Z,90,9,0,0,0,0,11,0,17499,2,1,2.0,2,-1507,1257,2764,50,True,0,11
Donny van de Beek,MID,Man Utd,1.8,0,0,3,0,2.9,495,108,1,0,0.4,0.8,2020-12-05T17:30:00Z,45,19,0,0,0,0,11,0,133134,3,1,0.0,1,-2125,2923,5048,67,False,0,11
Giovani Lo Celso,MID,Spurs,3.0,0,0,0,1,2.3,403,106,0,0,0.0,0.0,2020-12-06T16:30:00Z,71,1,0,0,0,0,11,0,33165,0,2,2.0,2,-525,572,1097,69,True,1,11
Bamidele Alli,MID,Spurs,0.0,0,0,0,0,0.0,394,106,0,0,0.0,0.0,2020-12-06T16:30:00Z,0,1,0,0,0,0,11,0,42865,0,2,0.0,0,-716,590,1306,74,True,0,11
Jairo Riedewald,MID,Crystal Palace,1.8,0,0,2,0,0.8,144,107,0,0,0.1,0.4,2020-12-06T12:00:00Z,17,18,0,0,0,0,11,0,147304,5,1,0.0,1,-4914,12712,17626,44,False,0,11
Adrián Bernabé,MID,Man City,1.5,0,0,0,0,0.0,537,104,0,0,0.0,0.0,2020-12-05T15:00:00Z,0,8,0,0,0,0,11,0,820,0,2,0.0,0,-32,46,78,45,True,0,11
Naby Keita,MID,Liverpool,1.3,0,0,2,0,0.1,261,103,0,0,0.0,0.2,2020-12-06T19:15:00Z,9,20,0,0,0,0,11,0,16404,0,4,0.0,1,-1141,47,1188,52,True,0,11
Max Meyer,MID,Crystal Palace,0.5,0,0,0,0,0.0,143,107,0,0,0.0,0.0,2020-12-06T12:00:00Z,0,18,0,0,0,0,11,0,2929,5,1,0.0,0,-109,47,156,47,False,0,11
